iter	Passed	Remaining
0	1920	958549
1	3579	891415
2	5226	865929
3	6911	857029
4	8663	857678
5	10540	867823
6	12379	871863
7	14116	868175
8	15869	865750
9	17635	864139
10	19419	863306
11	21196	861992
12	22992	861334
13	24877	863616
14	26852	868242
15	28851	872767
16	30783	874603
17	32654	874422
18	34583	875503
19	36573	877753
20	38523	878705
21	40411	878030
22	42453	880442
23	44445	881498
24	46318	880044
25	48186	878484
26	50055	876892
27	51930	875406
28	53885	875175
29	55819	874506
30	57864	875437
31	59914	876255
32	61811	874722
33	63706	873149
34	65596	871500
35	67519	870245
36	69397	868406
37	71280	866623
38	73269	866088
39	75299	865949
40	77265	864996
41	79155	863177
42	81073	861637
43	82958	859750
44	84842	857848
45	86729	855982
46	88664	854574
47	90726	854344
48	92767	853841
49	94772	852956
50	96799	852218
51	98740	850685
52	100656	848931
53	102569	847147
54	104499	845494
55	106570	844950
56	108592	843973
57	110518	842226
58	112470	840669
59	114388	838851
60	116296	836953
61	118205	835065
62	120221	833917
63	122385	833750
64	124491	833132
65	126394	831137
66	128304	829190
67	130241	827416
68	132173	825607
69	134086	823675
70	135999	821741
71	138091	820877
72	140187	819998
73	142095	818010
74	144003	816022
75	145906	814001
76	147814	812019
77	149725	810052
78	151639	808104
79	153678	806814
80	155750	805671
81	157771	804248
82	159784	802772
83	161830	801445
84	163837	799913
85	165752	797923
86	167671	795959
87	169685	794435
88	171755	793162
89	173804	791774
90	175716	789760
91	177633	787767
92	179546	785756
93	181470	783796
94	183398	781856
95	185469	780518
96	187596	779394
97	189688	778111
98	191628	776192
99	193571	774285
100	195533	772455
101	197465	770504
102	199388	768515
103	201418	766939
104	203486	765496
105	205526	763939
106	207445	761925
107	209378	759965
108	211311	758007
109	213252	756078
110	215185	754120
111	217179	752372
112	219281	750989
113	221345	749466
114	223282	747509
115	225265	745705
116	227298	744063
117	229341	742445
118	231402	740877
119	233654	739905
120	236082	739465
121	238456	738822
122	240738	737874
123	242970	736748
124	245195	735585
125	247407	734367
126	249713	733410
127	252188	732922
128	254741	732627
129	257079	731688
130	259310	730424
131	261549	729169
132	263771	727849
133	266084	726767
134	268512	725977
135	270819	724840
136	273022	723408
137	275253	722040
138	277462	720605
139	279704	719240
140	282124	718317
141	284520	717312
142	286782	715952
143	289002	714477
144	291260	713085
145	293570	711808
146	295851	710447
147	298206	709247
148	300580	708079
149	302861	706675
150	305048	705046
151	307259	703462
152	309441	701804
153	311649	700199
154	313981	698861
155	316436	697783
156	318798	696482
157	321144	695134
158	323367	693511
159	325601	691903
160	327790	690191
161	330167	688868
162	332572	687589
163	334878	686091
164	337095	684406
165	339370	682830
166	341585	681126
167	343784	679383
168	346115	677895
169	348497	676494
170	350763	674860
171	352952	673072
172	355124	671247
173	357350	669518
174	359672	667963
175	362112	666616
176	364527	665211
177	366780	663502
178	368972	661676
179	371179	659874
180	373380	658056
181	375567	656210
182	377846	654520
183	380271	653074
184	382598	651451
185	384891	649763
186	387179	648059
187	389395	646230
188	391585	644355
189	393845	642590
190	396233	641026
191	398562	639360
192	400769	637493
193	402981	635630
194	405220	633805
195	407449	631962
196	409713	630168
197	412117	628583
198	414484	626934
199	416694	625042
200	418902	623143
201	421117	621252
202	423377	619424
203	425769	617783
204	428177	616158
205	430577	614513
206	432802	612614
207	435018	610699
208	437236	608783
209	439450	606860
210	441791	605107
211	444169	603400
212	446482	601598
213	448754	599736
214	451109	597982
215	453395	596131
216	455613	594187
217	457885	592310
218	460310	590626
219	462633	588806
220	464862	586862
221	467071	584891
222	469293	582933
223	471514	580973
224	473790	579076
225	476151	577280
226	478523	575492
227	480758	573536
228	482975	571555
229	485183	569563
230	487413	567593
231	489812	565818
232	492291	564127
233	494737	562393
234	497012	560460
235	499226	558457
236	501458	556470
237	503678	554470
238	505955	552529
239	508365	550729
